logID,fightID,encounterID,sourceID,timestamp.x,abilityGameID.x,delayms.x,row_number,timestamp.y,abilityGameID.y,delayms.y,indicator,total_delay,encounterName
19cG8bnr2K6JDVPa,16,100623,16,4554094,1,532,14,4554392,75,298,1,830,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4570233,27014,926,15,4571251,75,1018,1,1944,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4579201,27014,683,16,4579568,75,367,1,1050,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4582928,1,1200,17,4583269,75,341,1,1541,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4586769,27014,193,18,4587240,75,471,1,664,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4590555,1,697,19,4591527,34120,972,1,1669,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4595328,27014,782,20,4596052,34120,724,1,1506,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4600593,1,598,21,4601275,34120,682,1,1280,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4605071,27014,216,22,4605819,34120,748,1,964,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5101051,27014,334,1,5101935,34120,884,1,1218,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5109736,27014,514,2,5110672,75,936,1,1450,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5117330,27014,295,3,5117719,75,389,1,684,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5119622,1,952,4,5120172,34120,550,1,1502,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5125322,27014,2957,5,5125945,75,623,1,3580,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5128170,1,455,6,5128503,75,333,1,788,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5130882,1,1092,7,5131180,75,298,1,1390,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5134006,27014,802,8,5136979,75,2973,1,3775,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5151522,1,782,10,5153488,75,1966,1,2748,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5156299,27014,179,11,5156935,34120,636,1,815,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5160170,1,270,12,5160771,34120,601,1,871,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5165649,27014,2304,13,5166388,75,739,1,3043,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5178065,27014,401,14,5178801,34120,736,1,1137,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5184427,27014,600,15,5185563,75,1136,1,1736,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5188764,1,376,16,5189256,34120,492,1,868,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5192903,27014,638,17,5193214,75,311,1,949,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5192921,1,656,18,5193214,75,293,1,949,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5199450,27014,398,19,5200853,75,1403,1,1801,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5199456,1,404,20,5200853,75,1397,1,1801,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5208663,27014,604,22,5209359,34120,696,1,1300,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5212533,1,1306,23,5212786,75,253,1,1559,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5216881,27014,71,24,5217060,75,179,1,250,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5225301,27014,521,25,5226294,34120,993,1,1514,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5229414,1,163,26,5230114,34120,700,1,863,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5233081,27014,906,27,5233389,75,308,1,1214,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,20,100625,16,5237365,1,2521,28,5237578,75,213,1,2734,<b><span style='color:#005F73;'>Leo</span></b>
19cG8bnr2K6JDVPa,24,100626,16,5644769,27014,436,2,5644967,75,198,1,634,<b><span style='color:#005F73;'>FLK</span></b>
19cG8bnr2K6JDVPa,24,100626,16,5648861,1,333,3,5649665,75,804,1,1137,<b><span style='color:#005F73;'>FLK</span></b>
19cG8bnr2K6JDVPa,24,100626,16,5655469,27014,764,4,5656275,34120,806,1,1570,<b><span style='color:#005F73;'>FLK</span></b>
19cG8bnr2K6JDVPa,24,100626,16,5659119,1,246,5,5659476,75,357,1,603,<b><span style='color:#005F73;'>FLK</span></b>
19cG8bnr2K6JDVPa,24,100626,16,5662818,27014,880,6,5663414,34120,596,1,1476,<b><span style='color:#005F73;'>FLK</span></b>
19cG8bnr2K6JDVPa,24,100626,16,5667363,1,209,7,5667942,34120,579,1,788,<b><span style='color:#005F73;'>FLK</span></b>
19cG8bnr2K6JDVPa,24,100626,16,5685363,27014,486,8,5686270,34120,907,1,1393,<b><span style='color:#005F73;'>FLK</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6045955,27014,1072,1,6046942,75,987,1,2059,<b><span style='color:#005F73;'>Morogrim</span></b>
